"unique.c.df_map_gene_uni.uniprot.."
"Q9Y297"
"Q92793"
"P48729"
"Q8N752"
"P49674"
"Q9UKB1"
"P08151"
"P10071"
"P49841"
"P10644"
"P31321"
"P13861"
"P31323"
"Q13635"
"Q15465"
"Q99835"
"Q9NWM0"
"Q9NRP7"
"O95071"
"Q9UMX1"
