"unique.c.df_wnt.id1..df_wnt.id2.."
"BTRC"
"CREBBP"
"CSNK1A1"
"CSNK1A1L"
"CSNK1E"
"FBXW11"
"GLI1"
"GLI3"
"GSK3B"
"PRKAR1A"
"PRKAR1B"
"PRKAR2A"
"PRKAR2B"
"PTCH1"
"SHH"
"SMO"
"STK36"
"UBR5"
"PARTICIPANT"
"SUFU"
"PARTICIPANT_NAME"
"GSK3B_HUMAN"
"CBP_HUMAN"
"KC1A_HUMAN"
"FBW1B_HUMAN"
"PTC1_HUMAN"
"KC1E_HUMAN"
"GLI1_HUMAN"
"GLI3_HUMAN"
"SHH_HUMAN"
"SMO_HUMAN"
"KAP1_HUMAN"
"STK36_HUMAN"
"KAP3_HUMAN"
"KAP0_HUMAN"
"KAP2_HUMAN"
"SUFU_HUMAN"
"UBR5_HUMAN"
"FBW1A_HUMAN"
"KC1AL_HUMAN"
