"unique.c.df_map_gene_uni.uniprot.."
"P23458"
"O60674"
"P52333"
"Q16539"
"O75925"
"O75928"
"Q9Y6X2"
"P08575"
"O15524"
"P42229"
"P51692"
"P42224"
"P40763"
"Q14765"
"P42226"
