From	To
P23458	9606.ENSP00000499900
O60674	9606.ENSP00000371067
P52333	9606.ENSP00000432511
Q16539	9606.ENSP00000229795
O75925	9606.ENSP00000438574
O75928	9606.ENSP00000465676
Q9Y6X2	9606.ENSP00000376765
P08575	9606.ENSP00000411355
O15524	9606.ENSP00000496577
P42229	9606.ENSP00000341208
P51692	9606.ENSP00000293328
P42224	9606.ENSP00000354394
P40763	9606.ENSP00000264657
Q14765	9606.ENSP00000351255
P42226	9606.ENSP00000300134
