"unique.c.df_map_gene_uni.uniprot.."
"O00587"
"O14672"
"P46531"
"P49757"
"P49768"
"P78504"
"P78536"
"P80370"
"Q04721"
"Q06330"
"Q86X95"
"Q8NES3"
"Q92542"
"Q92585"
"Q969H0"
"Q99466"
"Q9BYC5"
"Q9H488"
"Q9NR61"
"Q9NYJ7"
"Q9UBG7"
"Q9UM47"
"Q9Y219"
"Q9Y618"
