"unique.c.df_wnt.id1..df_wnt.id2.."
"AIFM1"
"AKT1"
"AKT2"
"AKT3"
"APAF1"
"BAG3"
"BAG4"
"BAK1"
"BAX"
"BCL2"
"BCL2L10"
"BCL2L11"
"BCL2L1"
"BCL2L2-PABPN1"
"BCL2L2"
"BIRC2"
"BIRC3"
"BOK"
"CASP10"
"CASP3"
"CASP7"
"CASP8"
"CFLAR"
"CHUK"
"CRADD"
"CYCS"
"DAXX"
"DIABLO"
"EIF2AK2"
"FADD"
"FAS"
"FASLG"
"FOS"
"GZMB"
"GZMH"
"HSPA1A"
"HSPA1B"
"HSPA1L"
"HSPA2"
"HSPA5"
"HSPA6"
"HSPA8"
"IKBKB"
"LTA"
"LTB"
"MADD"
"MAP2K3"
"MAP2K4"
"MAP2K7"
"MAP3K14"
"MAP3K1"
"MAP3K5"
"MAP4K2"
"MAP4K3"
"MAP4K4"
"MAPK10"
"MAPK1"
"MAPK3"
"MAPK8"
"MAPK9"
"MCL1"
"NFKB1"
"NFKB2"
"NFKBIA"
"PIK3CA"
"PIK3CB"
"PIK3CD"
"PIK3CG"
"PRKCA"
"PRKCB"
"PRKCD"
"PRKCE"
"PRKCG"
"PRKCH"
"PRKCQ"
"PRKRA"
"RIPK1"
"TMBIM6"
"TNF"
"TNFRSF10A"
"TNFRSF10B"
"TNFRSF10C"
"TNFRSF10D"
"TNFRSF1A"
"TNFRSF1B"
"TRADD"
"TRAF2"
"XIAP"
"PARTICIPANT"
"ATF1"
"ATF2"
"TNFSF10"
"ENDOG"
"ATF7"
"TP53"
"ATF6"
"ATF3"
"ATF4"
"CREM"
"JUN"
"EIF2S1"
"IGF2R"
"REL"
"CASP9"
"JDP2"
"ATF6B"
"RELA"
"RELB"
"BIK"
"PARTICIPANT_NAME"
"ATF1_HUMAN"
"ATF2_HUMAN"
"TNFA_HUMAN"
"AKT2_HUMAN"
"AKT3_HUMAN"
"TNF10_HUMAN"
"AKT1_HUMAN"
"M3K5_HUMAN"
"MP2K3_HUMAN"
"KPCG_HUMAN"
"MP2K4_HUMAN"
"DAXX_HUMAN"
"KPCL_HUMAN"
"NUCG_HUMAN"
"KPCB_HUMAN"
"KPCE_HUMAN"
"KPCD_HUMAN"
"KPCA_HUMAN"
"MADD_HUMAN"
"KPCT_HUMAN"
"ATF7_HUMAN"
"P53_HUMAN"
"ATF6A_HUMAN"
"ATF3_HUMAN"
"ATF4_HUMAN"
"DBLOH_HUMAN"
"CREM_HUMAN"
"B2L10_HUMAN"
"BAG4_HUMAN"
"B2L11_HUMAN"
"BAG3_HUMAN"
"RIPK1_HUMAN"
"FADD_HUMAN"
"MP2K7_HUMAN"
"MCL1_HUMAN"
"HSP7C_HUMAN"
"JUN_HUMAN"
"CRADD_HUMAN"
"BIP_HUMAN"
"HSP76_HUMAN"
"TR10C_HUMAN"
"E2AK2_HUMAN"
"TR10B_HUMAN"
"TR10A_HUMAN"
"HSP72_HUMAN"
"IF2A_HUMAN"
"MPRI_HUMAN"
"NFKB1_HUMAN"
"TR10D_HUMAN"
"NFKB2_HUMAN"
"IKBA_HUMAN"
"BCL2_HUMAN"
"REL_HUMAN"
"CYC_HUMAN"
"M3K14_HUMAN"
"B2CL2_HUMAN"
"B2CL1_HUMAN"
"TRADD_HUMAN"
"PK3CD_HUMAN"
"TNFL6_HUMAN"
"PK3CB_HUMAN"
"PK3CG_HUMAN"
"CASP9_HUMAN"
"IKKB_HUMAN"
"CASP7_HUMAN"
"CASP8_HUMAN"
"AIFM1_HUMAN"
"CASPA_HUMAN"
"CASP3_HUMAN"
"BOK_HUMAN"
"M4K2_HUMAN"
"IKKA_HUMAN"
"APAF_HUMAN"
"TRAF2_HUMAN"
"FOS_HUMAN"
"TNR1B_HUMAN"
"TNR1A_HUMAN"
"PK3CA_HUMAN"
"TNFB_HUMAN"
"BI1_HUMAN"
"TNFC_HUMAN"
"BIRC2_HUMAN"
"JDP2_HUMAN"
"BIRC3_HUMAN"
"ATF6B_HUMAN"
"XIAP_HUMAN"
"TF65_HUMAN"
"RELB_HUMAN"
"MK09_HUMAN"
"MK08_HUMAN"
"MK01_HUMAN"
"BAK_HUMAN"
"M4K3_HUMAN"
"MK03_HUMAN"
"M4K4_HUMAN"
"M3K1_HUMAN"
"HS71L_HUMAN"
"BIK_HUMAN"
"GRAB_HUMAN"
"CFLAR_HUMAN"
"GRAH_HUMAN"
"MK10_HUMAN"
"PRKRA_HUMAN"
"BAX_HUMAN"
"TNR6_HUMAN"
"HS71B_HUMAN"
"HS71A_HUMAN"
