"unique.c.df_map_gene_uni.uniprot.."
"O95831"
"P31749"
"P31751"
"Q9Y243"
"O14727"
"O95817"
"O95429"
"Q16611"
"Q07812"
"P10415"
"Q9HD36"
"O43521"
"Q07817"
"Q92843"
"Q13490"
"Q13489"
"Q9UMX3"
"Q92851"
"P42574"
"P55210"
"Q14790"
"O15519"
"O15111"
"P78560"
"P99999"
"Q9UER7"
"Q9NR28"
"P19525"
"Q13158"
"P25445"
"P49327"
"P48023"
"P01100"
"P10144"
"P20718"
"P0DMV8"
"P0DMV9"
"P34931"
"P54652"
"P11021"
"P17066"
"P11142"
"O14920"
"P01374"
"Q06643"
"Q8WXG6"
"P46734"
"P45985"
"O14733"
"Q99558"
"Q13233"
"Q99683"
"Q12851"
"Q8IVH8"
"O95819"
"P53779"
"P28482"
"P27361"
"P45983"
"P45984"
"Q07820"
"P19838"
"Q00653"
"P25963"
"P42336"
"P42338"
"O00329"
"P48736"
"P17252"
"P05771"
"Q05655"
"Q02156"
"P05129"
"C0HM02"
"P24723"
"Q04759"
"O75569"
"Q13546"
"P55061"
"P01375"
"O00220"
"O14763"
"O14798"
"Q9UBN6"
"P19438"
"P20333"
"Q15628"
"Q12933"
"Q92844"
"P98170"
"P18846"
"P15336"
"P50591"
"Q14249"
"P17544"
"P04637"
"P18850"
"P18847"
"P18848"
"Q03060"
"P05412"
"P05198"
"P11717"
"Q04864"
"P55211"
"Q8WYK2"
"Q99941"
"Q04206"
"Q01201"
"Q13323"
