"unique.c.df_map_gene_uni.uniprot.."
"P36896"
"Q8NER5"
"Q9Y2G4"
"O14497"
"P36575"
"P49407"
"P32121"
"O15169"
"O00512"
"P36894"
"O00238"
"Q9Y297"
"Q9Y6N8"
"P55287"
"P55289"
"P55290"
"P55291"
"O75309"
"Q12864"
"Q13634"
"Q96JQ0"
"Q9H159"
"P12830"
"Q9UM11"
"Q9HBT6"
"Q9UN71"
"Q9UJ99"
"Q9H251"
"Q86UP0"
"P19022"
"P22223"
"P55283"
"P33151"
"P55285"
"Q9ULB5"
"P55286"
"Q9ULB4"
"Q96JP9"
"Q9BYE9"
"Q9NYQ6"
"Q9HCU4"
"Q9NYQ7"
"O95813"
"Q86WJ1"
"Q92793"
"P48729"
"Q8N752"
"P48730"
"P49674"
"P78368"
"Q9Y6M4"
"P19784"
"Q8NEV1"
"P67870"
"Q13363"
"P56545"
"P35221"
"P26232"
"Q9UI47"
"Q9UBT7"
"P35222"
"Q9NYF0"
"O14640"
"P54792"
"O14641"
"Q92997"
"Q09472"
"Q96L91"
"Q9UKB1"
"Q92765"
"Q12841"
"Q9ULW2"
"Q9UP38"
"Q14332"
"O00144"
"Q9NPG1"
"Q9ULV1"
"Q13467"
"O60353"
"O75084"
"Q9H461"
"P29992"
"O95837"
"P30679"
"P50148"
"P62873"
"P62879"
"P16520"
"Q9HAV0"
"P49841"
"Q13547"
"Q92769"
"O15379"
"Q9BY41"
"Q9NRZ9"
"Q14527"
"Q9ULG1"
"Q14643"
"Q14571"
"Q14573"
"Q9UJU2"
"O75197"
"O75581"
"P57077"
"O43318"
"Q969G9"
"Q969F2"
"Q9UBE8"
"Q9NQ66"
"Q00722"
"Q01970"
"Q15147"
"P67775"
"P62714"
"Q15172"
"Q15173"
"Q13362"
"Q14738"
"Q16537"
"Q08209"
"P16298"
"P48454"
"P63098"
"Q96LZ3"
"Q9Y3Y4"
"Q9BRQ0"
"P10523"
"Q9UBF6"
"Q8N474"
"Q96HF1"
"Q6FHJ7"
"Q5T4F7"
"Q8IUQ4"
"O43255"
"Q15797"
"Q13485"
"Q99717"
"P28370"
"P51531"
"P51532"
"O60264"
"Q9NZC9"
"Q12824"
"Q92922"
"Q8TAQ2"
"Q96GM5"
"Q92925"
"Q6STE5"
"Q969G3"
"Q6ZRS2"
"P36897"
"Q04724"
"Q04725"
"Q04726"
"Q04727"
"Q9H808"
"Q9GZT5"
"O00744"
"O96014"
"Q9UBV4"
"P04628"
"P09544"
"Q93097"
"P56704"
"P56703"
"P56705"
"P41221"
"Q9H1J7"
"Q9Y6F9"
"O00755"
"P56706"
"Q9H1J5"
"Q93098"
"O14904"
"O14905"
"Q9HCS4"
"Q9NQB0"
"Q9BZK7"
"O60907"
"Q9BQ87"
"Q14517"
"Q9NYQ8"
"Q8TDW7"
"Q9P2E7"
"Q9BZA7"
"Q9BZA8"
"Q9NPG4"
"Q96QU1"
"Q9HCL0"
"Q8TAB3"
"Q08174"
"Q8N6Y1"
"O60245"
"O95206"
"Q9HC56"
"Q9Y5I2"
"Q9Y5I1"
"Q9UN75"
"Q9Y5I0"
"Q9Y5I3"
"Q9Y5H9"
"Q9Y5H8"
"Q9UN74"
"Q9Y5H7"
"Q9UN73"
"Q9UN72"
"Q9Y5H6"
"Q9Y5H5"
"Q9H158"
"Q9Y5I4"
"Q9UN67"
"Q9Y5F2"
"Q9Y5F1"
"Q9Y5F0"
"Q9Y5E9"
"Q9Y5E8"
"Q9NRJ7"
"Q9Y5F3"
"Q9Y5E7"
"Q9Y5E6"
"Q9Y5E5"
"Q9Y5E4"
"Q9Y5E3"
"Q9Y5E2"
"Q9UN66"
"Q9Y5H3"
"Q9Y5H2"
"O60330"
"Q9Y5H4"
"Q9Y5H1"
"Q9Y5H0"
"Q9Y5G8"
"Q9Y5G7"
"Q9Y5G6"
"Q9Y5G5"
"Q9Y5G3"
"Q9Y5G2"
"Q9Y5F9"
"Q9Y5F8"
"Q9UN70"
"Q9Y5F7"
"Q9Y5F6"
"P50151"
"Q9UBI6"
"Q9P2W3"
"P59768"
"P63215"
"P50150"
"P63218"
"O60262"
"O14610"
"Q9UK08"
"P17252"
"P05771"
"Q05655"
"Q02156"
"P05129"
"C0HM02"
"P24723"
"P41743"
"Q04759"
"Q05513"
"O95644"
"Q13469"
"Q12968"
"Q14934"
