"unique.c.df_map_gene_uni.uniprot.."
"Q08462"
"P51828"
"P13945"
"P38405"
"P62873"
"P62879"
"P16520"
"Q9HAV0"
"O14775"
"P50151"
"Q9UBI6"
"P59768"
"P63215"
"P50150"
"P63218"
"O60262"
"O14610"
"Q9UK08"
