"unique.c.df_wnt.id1..df_wnt.id2.."
"ADCY2"
"ADCY7"
"ADRB3"
"GNAL"
"GNB1"
"GNB2"
"GNB3"
"GNB4"
"GNB5"
"GNG10"
"GNG12"
"GNG2"
"GNG3"
"GNG4"
"GNG5"
"GNG7"
"GNG8"
"GNGT2"
"chebi:30616"
"chebi:33568"
"chebi:37565"
"chebi:17489"
